RNA,ID,Length,total fragments,Avg lifetime,StdDev
hybOABCDEFG,1432,6546,6,2.097831667,0.14949416
yqhA,1436,495,1,4.29851,0
metC,1438,1188,3,3.877906667,0.384693229
yghB,1439,660,2,2.11402,0.34874
ygiQ,1443,2220,6,2.609905,0.310410196
ftsP,1444,1413,4,2.02007,0.055620658
plsC,1445,738,2,1.94049,0.00703
parC,1446,2259,6,1.43871,0.26032779
ygiV,1448,483,1,2.68889,0
ygiW,1449,393,1,4.2484,0
mdaB,1452,582,1,3.27878,0
ygiN,1453,315,1,4.21557,0
nudF-yqiB-cpdA-yqiA-parE,1454,4407,6,2.883996667,0.988543945
tolC-ygiABC,1455,3467,6,2.770425,0.203886374
zupT,1457,774,2,3.439335,0.388695
sroG-ribB,1458,906,3,2.808893333,0.871372022
rfaE,1466,1434,4,3.2450925,0.473656482
bacA,1467,822,2,3.49464,0.31358
folB,1468,369,1,2.04439,0
ygiH,1469,618,2,0.6754335,0.0980835
mug,1472,507,1,4.72992,0
yqjH,1474,765,2,5.001145,0.586115
yqjI,1475,624,2,3.11482,0.4406
ebgR,1479,984,3,2.971446667,0.174667125
rlmG,1484,1137,3,2.13652,0.154822499
ygjP,1485,504,1,0.946628,0
alx,1488,966,3,2.198806667,0.496870776
exuR,1493,777,2,1.076505,0.020215
yqjA-mzrA,1494,1050,3,1.183061333,0.209632863
yqjCDEK,1495,1408,4,13.091325,6.633844156
yhaH,1498,366,1,4.72811,0
yhaJ,1500,897,2,2.459305,0.098595
sohA-yhaV,1506,800,2,1.6468,0.18483
agaR,1507,810,2,1.61772,0.0444
diaA,1512,591,1,2.15733,0
yraP,1513,576,1,4.82998,0
yhbW,1517,1008,3,7.395963333,0.714173299
nlpI,1519,885,2,3.372485,0.029395
argG,1522,1344,4,3.68929,0.231986399
folP-glmM,1524,2179,6,3.00775,0.756832093
greA,1526,477,1,1.54278,0
dacB,1527,1434,4,1.2790325,0.169713202
yhbE-obgE,1528,2154,6,2.385401667,0.187568519
ispB,1529,972,3,1.546306667,0.064678871
murA,1531,1260,4,2.9600625,0.245692719
mlaFEDCB,1533,3103,6,2.575921667,0.159956962
nanR,1538,792,2,1.186051,0.257699
sspAB,1540,1142,3,4.16617,0.325631811
