"geneId"	"name"	"translationEfficiency"
"EG11293"	"lolB"	2.42743627901
"EG10427"	"hemA"	0.582817958153
"EG10761"	"prfA"	1.60411224687
"EG12424"	"prmC"	0.686181250262
"G6630"	"ychQ"	0.178447380875
"EG11251"	"ychA"	0.646601925961
"EG10518"	"kdsA"	2.46918589762
"EG11753"	"chaA"	1.37801594694
"EG12404"	"ychN"	3.21144999297
"EG12405"	"ychO"	0.576096200784
"EG10643"	"narL"	2.49719318303
"EG10646"	"narX"	0.423682085585
"EG11819"	"purU"	3.13685197586
"EG12119"	"ychJ"	1.25616075663
"EG12120"	"rssA"	1.08892402405
"EG12121"	"rssB"	0.837997712804
"EG11319"	"galU"	2.52155104862
"EG10457"	"hns"	6.070532993
"EG10994"	"tdk"	2.95047629881
"EG10031"	"adhE"	2.14884387799
"EG11342"	"ychE"	1.14474878234
"EG10674"	"oppA"	2.53740047991
"EG10675"	"oppB"	1.10618235029
"EG10676"	"oppC"	1.06642022077
"EG10677"	"oppD"	1.05458014196
"EG10678"	"oppF"	0.975379929569
"G6633"	"yciU"	1.4547179195
"G0-8891"	"yciY"	1.34855430545
"EG11606"	"kch"	1.41128517174
"EG11607"	"yciI"	3.22863796526
"EG11012"	"tonB"	0.946581306821
"EG11121"	"yciA"	2.21306171591
"EG11122"	"yciB"	1.88342968967
"EG11123"	"yciC"	1.67863789967
"EG11024"	"trpA"	2.35317278204
"EG11025"	"trpB"	1.75036837635
"EG11026"	"trpC"	0.882074752843
"EG11027"	"trpD"	0.885605413868
"EG11028"	"trpE"	1.93089217254
"G6634"	"yciV"	0.545470237214
"G6635"	"yciO"	2.60829047382
"G6636"	"yciQ"	0.249624208359
"EG12433"	"rluB"	2.22781947612
"EG10130"	"btuR"	1.08613022248
"EG11759"	"yciK"	2.06664217425
"EG10956"	"sohB"	1.85421908789
"EG12868"	"yciN"	2.43172667063
"EG11013"	"topA"	1.10659577342
"EG10184"	"cysB"	3.06467187696
