"left"	"right"	"id"	"rho"	"name"
49634	47080	"TERM_WC-1112"	"0"	"TERM_WC_kefFC"
3476611	3476612	"TERM_WC-1113"	"0"	"TERM_WC_kefGB-yheV"
2722467	2722468	"TERM_WC-1114"	"0"	"TERM_WC_kgtP"
2722467	2722468	"TERM_WC-1115"	"0"	"TERM_WC_kgtP"
2722467	2722468	"TERM_WC-1116"	"0"	"TERM_WC_kgtP"
1415859	1415860	"TERM_WC-1117"	"0"	"TERM_WC_kilR-ydaE"
4559510	4558953	"TERM_WC-1118"	"0"	"TERM_WC_kptA"
3931210	3929126	"TERM_WC-1119"	"0"	"TERM_WC_kup"
4268153	4267437	"TERM_WC-112"	"0"	"TERM_WC_aphA"
3931210	3929204	"TERM_WC-1120"	"0"	"TERM_WC_kup"
3931210	3929288	"TERM_WC-1121"	"0"	"TERM_WC_kup"
365649	365650	"TERM_WC-1122"	"0"	"TERM_WC_lacI"
250830	250072	"TERM_WC-1123"	"0"	"TERM_WC_lafU"
1241386	1241387	"TERM_WC-1124"	"0"	"TERM_WC_ldcA"
211823	209679	"TERM_WC-1125"	"0"	"TERM_WC_ldcC"
1439875	1439876	"TERM_WC-1126"	"0"	"TERM_WC_ldhA"
1268388	1268389	"TERM_WC-1127"	"0"	"TERM_WC_ldrA"
1268923	1268924	"TERM_WC-1128"	"0"	"TERM_WC_ldrB"
1269458	1269459	"TERM_WC-1129"	"0"	"TERM_WC_ldrC"
1041141	1039822	"TERM_WC-113"	"0"	"TERM_WC_appA"
2702354	2702355	"TERM_WC-1130"	"0"	"TERM_WC_lepAB"
2702354	2702355	"TERM_WC-1131"	"0"	"TERM_WC_lepB"
78845	78846	"TERM_WC-1132"	"0"	"TERM_WC_leuD"
1878142	1878143	"TERM_WC-1133"	"0"	"TERM_WC_leuE"
1878142	1878143	"TERM_WC-1134"	"0"	"TERM_WC_leuE"
78845	78846	"TERM_WC-1135"	"0"	"TERM_WC_leuLABCD"
78845	78846	"TERM_WC-1136"	"0"	"TERM_WC_leuLABCD"
85315	84304	"TERM_WC-1137"	"0"	"TERM_WC_leuO"
