# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 25.1
# Date and time generated: September 10, 2021, 12:55:13
"id"	"common_name"	"synonyms"	"type"	"modified_forms"	"gene_id"	"monomer_ids"	"anticodon"	"coding_segments"
"EG12440_RNA"	"mpl"	["mpl", "tpl", "yjfG", "b4233", "ECK4228"]	"mRNA"	[]	"EG12440"	["EG12440-MONOMER"]	null	[]
"EG12442_RNA"	"yfjD"	["yfjD", "b2612", "ypjE", "b2613", "b4461", "ECK2609"]	"mRNA"	[]	"EG12442"	["G7356-MONOMER"]	null	[]
"EG12443_RNA"	"yggL"	["yggL", "b2959", "ECK2954"]	"mRNA"	[]	"EG12443"	["EG12443-MONOMER"]	null	[]
"EG12444_RNA"	"ycfJ"	["ycfJ", "b1110", "ECK1096"]	"mRNA"	[]	"EG12444"	["EG12444-MONOMER"]	null	[]
"EG12445_RNA"	"eamB"	["eamB", "yfiK", "b2578", "ECK2576"]	"mRNA"	[]	"EG12445"	["EG12445-MONOMER"]	null	[]
"EG12446_RNA"	"yfiL"	["yfiL", "b2602", "ECK2599"]	"mRNA"	[]	"EG12446"	["EG12446-MONOMER"]	null	[]
"EG12448_RNA"	"ybcH"	["ybcH", "b0567", "ECK0559"]	"mRNA"	[]	"EG12448"	["EG12448-MONOMER"]	null	[]
"EG12449_RNA"	"prmB"	["prmB", "yfcB", "b2330", "ECK2324"]	"mRNA"	[]	"EG12449"	["EG12449-MONOMER"]	null	[]
"EG12450_RNA"	"norW"	["norW", "ygaL", "ygbD", "b2711", "ECK2706"]	"mRNA"	[]	"EG12450"	["EG12450-MONOMER"]	null	[]
"EG12454_RNA"	"ybaK"	["ybaK", "b0481", "ECK0475"]	"mRNA"	[]	"EG12454"	["EG12454-MONOMER"]	null	[]
"EG12455_RNA"	"lplT"	["lplT", "ygeD", "b2835", "ECK2831"]	"mRNA"	[]	"EG12455"	["EG12455-MONOMER"]	null	[]
"EG12458_RNA"	"alsB"	["alsB", "yjcX", "b4088", "ECK4081"]	"mRNA"	[]	"EG12458"	["YJCX-MONOMER"]	null	[]
"EG12462_RNA"	"adiC"	["adiC", "yjdD", "yjdE", "b4115", "ECK4108"]	"mRNA"	[]	"EG12462"	["YJDE-MONOMER"]	null	[]
"EG12469_RNA"	"dtpC"	["dtpC", "yjdL", "b4130", "ECK4124"]	"mRNA"	[]	"EG12469"	["YJDL-MONOMER"]	null	[]
"EG12475_RNA"	"yjeM"	["yjeM", "b4156", "ECK4152"]	"mRNA"	[]	"EG12475"	["YJEM-MONOMER"]	null	[]
"EG12494_RNA"	"ulaB"	["ulaB", "yjfT", "sgaB", "b4194", "ECK4190"]	"mRNA"	[]	"EG12494"	["YJFT-MONOMER"]	null	[]
"EG12495_RNA"	"ulaC"	["ulaC", "ptxA", "yjfU", "sgaA", "b4195", "ECK4191"]	"mRNA"	[]	"EG12495"	["YJFU-MONOMER"]	null	[]
"EG12504_RNA"	"cycA"	["cycA", "ytfD", "dagA", "b4208", "ECK4204"]	"mRNA"	[]	"EG12504"	["CYCA-MONOMER"]	null	[]
"EG12517_RNA"	"ytfQ"	["ytfQ", "b4227", "ECK4223"]	"mRNA"	[]	"EG12517"	["YTFQ-MONOMER"]	null	[]
