"TF"	"geneId"	"oneComponentId"	"twoComponentId"	"nonMetaboliteBindingId"	"activeId"	"_notes"
"yqhH"	"G7567"					
"ftsP"	"EG11376"					
"parC"	"EG10686"					
"ygiS"	"G7570"					
"mqsR"	"G7572"					
"ygiW"	"G7574"					
"qseC"	"EG12658"					
"ygiZ"	"G7577"					
"parE"	"EG10687"					
"yqiA"	"G7578"					
"cpdA"	"G7579"					
"yqiB"	"G7580"					
"ygiA"	"EG11163"					
"ygiB"	"EG11164"					
"ygiC"	"EG11165"					
"ygiD"	"EG11166"					
"yqiC"	"G7582"					
"ygiL"	"EG12363"					
"yqiG"	"G7585"					
"yqiH"	"G7586"					
"yqiI"	"G7587"					
"glgS"	"EG11381"					
"yqiJ"	"G7588"					
"yqiK"	"G7589"					
"glnE"	"EG11602"					
"ygiF"	"EG11603"					
"ygiM"	"EG12434"					
"cca"	"EG10136"					
"tsaD"	"EG11171"					
"rpsU"	"EG10920"					
"dnaG"	"EG10239"					
"mug"	"EG12717"					
"yqjH"	"G7593"					
"aer"	"G7595"					
"ygjH"	"G7597"					
"ebgA"	"EG10252"					
"ebgC"	"EG10253"					
"ygjI"	"EG12720"					
"ygjJ"	"G7598"					
"ygjK"	"G7599"					
"fadH"	"G36"					
"higB"	"G7602"					
"rlmG"	"G7603"					
"ygjP"	"G7604"					
"ygjQ"	"G7605"					
"ygjR"	"G7606"					
"alx"	"G7607"					
"ygjV"	"G7608"					
"yqjA"	"G7609"					
"mzrA"	"G7610"					
"yqjC"	"G7611"					
"yqjD"	"G7612"					
"yqjE"	"G7613"					
"yqjK"	"G7614"					
"yqjF"	"G7615"					
"yqjG"	"G7616"					
"yhaH"	"G7617"					
"yhaI"	"G7618"					
"yhaK"	"G7620"					
"yhaL"	"G7621"					
"yhaO"	"EG12754"					
"tdcF"	"G7626"					
"yhaB"	"EG11173"					
"yhaC"	"EG11174"					
"rnpB"	"EG30069"					
"prlF"	"EG10955"					
"yhaV"	"G7629"					
"agaV"	"G7632"					
"agaW"	"G7633"					
"agaA"	"EG12766"					
"agaS"	"G7634"					
"agaB"	"EG12769"					
"agaC"	"EG12770"					
"agaD"	"G7635"					
"agaI"	"G7636"					
"yraH"	"G7637"					
"yraI"	"G7638"					
"yraJ"	"G7639"					
"yraK"	"G7640"					
"rsmI"	"G7641"					
"lpoA"	"G7642"					
"yraN"	"G7643"					
"diaA"	"EG12780"					
"yraP"	"G7644"					
"yraQ"	"G7645"					
"yraR"	"G7646"					
"yhbO"	"G7647"					
"yhbP"	"G7648"					
"yhbQ"	"G7649"					
"yhbS"	"G7650"					
"yhbT"	"G7651"					
"yhbU"	"G7652"					
"yhbV"	"G7653"					
"yhbW"	"G7654"					
"deaD"	"EG10215"					
"nlpI"	"EG12371"					
"pnp"	"EG10743"					
"rpsO"	"EG10914"					
"truB"	"EG11177"					
"rbfA"	"EG11178"					
"infB"	"EG10505"					
"nusA"	"EG10665"					
"rimP"	"EG11179"					
"yhbX"	"G7655"					
"secG"	"EG12095"					
"ftsH"	"EG11506"					
"rlmE"	"EG11507"					
"yhbY"	"EG12794"					
"greA"	"EG10415"					
"obgE"	"G7656"					
"yhbE"	"EG11499"					
"rpmA"	"EG50002"					
"rplU"	"EG50001"					
"mlaB"	"G7658"					
"mlaC"	"G7659"					
"mlaD"	"EG12799"					
"mlaE"	"EG12800"					
"mlaF"	"EG12801"					
"hpf"	"EG11681"					
"ptsN"	"EG11682"					
"yhbJ"	"EG12146"					
"npr"	"EG12147"					
"yrbL"	"G7667"					
"mtgA"	"G7668"					
"elbB"	"EG11383"					
"arcB"	"EG10062"					
"yhcC"	"G7669"					
"gltF"	"EG11514"					
"yhcA"	"EG11515"					
"yhcD"	"G7670"					
"ychE_1"	"G7671"					
"yhcG"	"G7674"					
"yhcH"	"G7675"					
"dcuD"	"G7679"					
"sspB"	"EG10978"					
"sspA"	"EG10977"					
"rpsI"	"EG10908"					
"rplM"	"EG10874"					
"yhcM"	"G7680"					
"yhcB"	"G7681"					
"degQ"	"G7682"					
"degS"	"EG11652"					
"yhcN"	"G7683"					
"yhcO"	"G7684"					
"aaeB"	"G7685"					
"aaeA"	"G7686"					
"aaeX"	"G7687"					
"tldD"	"G7689"					
"rng"	"EG11299"					
"yhdE"	"EG11298"					
"mreD"	"EG10610"					
"mreC"	"EG10609"					
"mreB"	"EG10608"					
"csrD"	"EG10018"					
"yhdH"	"EG11315"					
"yhdT"	"G7693"					
"prmA"	"EG11497"					
"dusB"	"EG11311"					
"yhdJ"	"EG11498"					
"yhdU"	"G7694"					
"yhdV"	"G7695"					
"yhdW"	"EG12834"					
"yhdX"	"EG12835"					
"yhdY"	"EG12836"					
"yhdZ"	"EG12837"					
"yrdA"	"G7696"					
"yrdB"	"G7697"					
"tsaC"	"G7698"					
"yrdD"	"G7699"					
"smg"	"EG11605"					
"smf_2"	"EG11604"					
"smf_1"	"EG11604"					
"def"	"EG11440"					
"rsmB"	"EG12163"					
"mscL"	"EG11180"					
"yhdN"	"EG11970"					
"rplQ"	"EG10878"					
"rpoA"	"EG10893"					
"rpsD"	"EG10903"					
"rpsK"	"EG10910"					
"rpsM"	"EG10912"					
"rpmJ"	"EG11232"					
"secY"	"EG10766"					
"rplO"	"EG10876"					
"rpmD"	"EG10888"					
"rpsE"	"EG10904"					
"rplR"	"EG10879"					
"rplF"	"EG10869"					
"rpsH"	"EG10907"					
"rpsN"	"EG10913"					
"rplE"	"EG10868"					
"rplX"	"EG10884"					
"rplN"	"EG10875"					
"rpsQ"	"EG10916"					
"rpmC"	"EG10887"					
"rplP"	"EG10877"					
"rpsC"	"EG10902"					
"rplV"	"EG10882"					
"rpsS"	"EG10918"					
"rplB"	"EG10865"					
"rplW"	"EG10883"					
"rplD"	"EG10867"					
"rplC"	"EG10866"					
"rpsJ"	"EG10909"					
"gspB"	"EG11263"					
"gspA"	"G7701"					
"gspC"	"G7702"					
"gspD"	"G7703"					
"gspE"	"G7704"					
"gspF"	"G7705"					
"gspG"	"G7706"					
"gspH"	"G7707"					
"gspI"	"G7708"					
"gspJ"	"G7709"					
"gspK"	"G7710"					
"gspL"	"G7711"					
"gspM"	"EG12173"					
"gspO"	"EG11359"					
"bfr"	"EG10113"					
"bfd"	"EG11181"					
"chiA"	"EG11237"					
"tufA"	"EG11036"					
"fusA"	"EG10360"					
"rpsG"	"EG10906"					
"rpsL"	"EG10911"					
"tusB"	"G7712"					
"tusC"	"G7713"					
"tusD"	"G7714"					
"fkpA"	"G7716"					
"slyX"	"EG11664"					
"slyD"	"EG11663"					
"kefG"	"G7717"					
"yheS"	"EG12903"					
"yheT"	"G7718"					
"yheU"	"G7719"					
"prkB"	"EG12365"					
"yhfA"	"EG11182"					
"yhfK"	"G7721"					
"fic"	"EG10307"					
"yhfG"	"EG12374"					
"ppiA"	"EG10757"					
"tsgA"	"EG11262"					
"yhfL"	"G7722"					
"yhfS"	"G7728"					
"yhfT"	"G7729"					
"yhfU"	"G7730"					
"php"	"G7731"					
"yhfX"	"G7733"					
"yhfY"	"G7734"					
"yhfZ"	"G7735"					
"dam"	"EG10204"					
"damX"	"EG11183"					
"hofQ"	"EG12113"					
"hofP"	"G7736"					
"hofO"	"G7737"					
"hofN"	"G7738"					
"hofM"	"G7739"					
"yrfF"	"G7741"					
"yrfG"	"G7742"					
"hslR"	"G7743"					
"hslO"	"G7744"					
"yhgE"	"G7745"					
"envZ"	"EG10269"					
"greB"	"EG11578"					
"yhgF"	"G7746"					
"feoA"	"EG12101"					
"yhgA"	"EG11750"					
"gntX"	"G7747"					
"nfuA"	"G7748"					
"rtcB"	"G7751"					
"glpG"	"EG10397"					
"yzgL"	"G7752"					
"yhgN"	"G7753"					
"gntU"	"EG12631"					
"yhhW"	"G7756"					
"yhhX"	"G7757"					
"yhhY"	"G7758"					
"yhhZ"	"G7759"					
"yrhA"	"G7760"					
"yrhB"	"G7763"					
"yhhA"	"EG11184"					
"yhhK"	"EG12211"					
"ftsX"	"EG10345"					
"ftsE"	"EG10340"					
"ftsY"	"EG10346"					
"rsmD"	"EG10343"					
"yhhL"	"EG12212"					
"yhhM"	"EG12213"					
"yhhN"	"EG12214"					
"tusA"	"EG12216"					
"yhhQ"	"EG12217"					
"dcrB"	"G7767"					
"yhhS"	"EG12219"					
"yhhT"	"EG12220"					
"rhsB"	"EG10847"					
"yhhH"	"EG11520"					
"yhhJ"	"EG11767"					
"rbbA"	"EG12223"					
"yhiI"	"EG12224"					
"yhiJ"	"EG12225"					
"yhiK"	"EG12226"					
"yhiL"	"EG12227"					
"yhiM"	"EG12228"					
"yhiN"	"EG12229"					
"uspB"	"EG12231"					
"uspA"	"EG11390"					
"rsmJ"	"EG12233"					
"prlC"	"EG11441"					
"rlmJ"	"EG12234"					
"yhiS_1"	"EG12238"					
"slp"	"EG11890"					
"yhiD"	"EG11400"					
"hdeB"	"EG11399"					
"hdeA"	"EG11398"					
"hdeD"	"EG11495"					
"mdtE"	"EG12240"					
"mdtF"	"EG12241"					
"yhjA"	"EG12244"					
"yhjD"	"EG12248"					
"yhjE"	"EG12249"					
"yhjG"	"EG12251"					
"yhjH"	"EG12252"					
"yhjJ"	"EG12254"					
"yhjK"	"EG12256"					
"bcsC"	"EG12257"					
"bcsZ"	"EG12258"					
"bcsB"	"EG12259"					
"bcsA"	"EG12260"					
"bcsQ"	"EG12261"					
"yhjR"	"EG12262"					
"bcsE"	"EG12263"					
"bcsF"	"EG12264"					
"bcsG"	"EG12265"					
"yhjV"	"EG12266"					
"yhjX"	"EG12268"					
"yhjY"	"EG12269"					
"tag"	"EG10986"					
"yiaC"	"EG12270"					
"yiaD"	"EG12271"					
"yiaF"	"EG12273"					
"insJ"	"G7776"					
"insK"	"G7777"					
"wecH"	"EG12274"					
"yiaA"	"EG11186"					
"yiaB"	"EG11267"					
"bax"	"EG11360"					
"ysaA"	"EG12277"					
"yiaL"	"EG12280"					
"sgbU"	"EG12286"					
"yiaT"	"EG12288"					
"yiaV"	"EG12290"					
"yiaW"	"EG12291"					
"yiaY"	"EG12293"					
"selB"	"EG10942"					
"yibF"	"EG11762"					
"yibA"	"EG11187"					
"yibJ"	"EG11766"					
"yibG"	"EG11763"					
"yibH"	"EG11764"					
"yibI"	"EG11765"					
"yibL"	"EG11964"					
"trmL"	"EG11888"					
"secB"	"EG10937"					
"yibN"	"EG12295"					
"envC"	"EG12297"					
"yibQ"	"EG12298"					
"yibD"	"EG11266"					
"htrL"	"EG11188"					
"mutM"	"EG10329"					
"rpmG"	"EG10891"					
"rpmB"	"EG10886"					
"yicR"	"EG11312"					
"slmA"	"EG11191"					
"rph"	"EG10863"					
"yicC"	"EG11192"					
"dinD"	"EG11193"					
"yicG"	"EG11683"					
"ligB"	"EG11334"					
"rpoZ"	"EG10899"					
"trmH"	"EG10967"					
"recG"	"EG10829"					
"yicH"	"EG11684"					
"yicI"	"EG11685"					
"yicJ"	"EG11686"					
"setC"	"EG11687"					
"yicL"	"EG11688"					
"nlpA"	"EG10657"					
"nepI"	"EG11689"					
"yicN"	"EG11690"					
"yicO"	"EG11691"					
"uhpC"	"EG11053"					
"uhpB"	"EG11052"					
"ivbL"	"EG11275"					
"emrD"	"EG11693"					
"yidG"	"EG11695"					
"yidH"	"EG11696"					
"yidI"	"EG11697"					
"yidJ"	"EG11705"					
"glvG"	"EG11708"					
"glvB"	"EG11709"					
"glvC"	"EG11710"					
"yidE"	"EG11536"					
"ibpB"	"EG11535"					
"ibpA"	"EG11534"					
"yidQ"	"EG11712"					
"yidR"	"EG11713"					
"cbrA"	"EG11714"					
"yidX"	"EG11719"					
"yidA"	"EG11195"					
"yidB"	"EG11196"					
"gyrB"	"EG10424"					
"recF"	"EG10828"					
"dnaN"	"EG10242"					
"rpmH"	"EG10892"					
"rnpA"	"EG10862"					
"yidC"	"EG11197"					
"mnmE"	"EG10997"					
"tnaC"	"EG11276"					
"mdtL"	"EG11720"					
"yieE"	"EG11722"					
"yieF"	"EG11723"					
"yieH"	"EG11725"					
"cbrB"	"EG11726"					
"cbrC"	"EG11727"					
"yieK"	"EG11728"					
"yieL"	"EG11729"					
"bglH"	"EG11364"					
"bglB"	"EG10114"					
"bglG"	"EG10116"					
"phoU"	"EG10735"					
"rsmG"	"EG10376"					
"mnmG"	"EG10375"					
"mioC"	"EG11199"					
"viaA"	"EG11730"					
"ravA"	"EG11731"					
"hsrA"	"EG11732"					
"yieP"	"EG11733"					
"pssR"	"EG11449"					
"yifE"	"EG11450"					
"yifB"	"EG11260"					
"ilvL"	"EG11270"					
"ilvG_1"	"G8221"					
"ilvM"	"EG10501"					
"ppiC"	"EG12352"					
"yifO"	"G7797"					
"yifN"	"G7798"					
"rep"	"EG10837"					
"rhlB"	"EG10844"					
"rhoL"	"EG12428"					
"yifK"	"EG11459"					
"aslB"	"EG10090"					
"aslA"	"EG10089"					
"hemY"	"EG10434"					
"yzcX"	"G7802"					
"yigA"	"EG11201"					
"xerC"	"EG11069"					
"yigB"	"EG11202"					
"uvrD"	"EG11064"					
"yigF"	"EG11464"					
"yigG"	"EG11465"					
"rarD"	"EG11466"					
"yigI"	"EG11467"					
"recQ"	"EG10833"					
"yigM"	"EG11471"					
"ysgA"	"G7804"					
"rmuC"	"EG11472"					
"yigP"	"EG11474"					
"tatA"	"G7806"					
"tatB"	"G7808"					
"tatC"	"EG11479"					
"yigW"	"EG11481"					
"yigW"	"EG11481"					
"pepQ"	"EG10698"					
"yigZ"	"EG11484"					
"yihD"	"EG11830"					
"rdoA"	"EG11831"					
"yihF"	"EG11832"					
"yihG"	"EG11833"					
"polA"	"EG10746"					
"spf"	"EG30098"					
"yihA"	"EG11203"					
"yihI"	"EG11835"					
"glnL"	"EG10387"					
"typA"	"EG11837"					
"yihM"	"EG11839"					
"yihN"	"EG11840"					
"yihO"	"EG11841"					
"yihP"	"EG11842"					
"yihQ"	"EG11843"					
"yihR"	"EG11844"					
"yihS"	"EG11845"					
"yihT"	"EG11846"					
"yihV"	"EG11848"					
"yihX"	"EG11850"					
"yihY"	"EG11851"					
"dtd"	"EG11852"					
"yiiD"	"EG11853"					
"yiiF"	"EG11855"					
"fdhE"	"EG10284"					
"fdhD"	"EG11859"					
"yiiG"	"EG11860"					
"frvX"	"EG11862"					
"frvB"	"EG11863"					
"frvA"	"EG11864"					
"rhaM"	"EG11865"					
"yiiM"	"EG11870"					
"cpxA"	"EG10163"					
"yiiQ"	"EG11874"					
"yiiR"	"EG11875"					
"yiiS"	"EG11876"					
"uspD"	"EG11877"					
"zapB"	"EG11878"					
"rraA"	"EG11879"					
"hslU"	"EG11881"					
"hslV"	"EG11676"					
"ftsN"	"EG11529"					
"priA"	"EG10763"					
"rpmE"	"EG10889"					
"yiiX"	"EG11882"					
"yijE"	"EG11902"					
"yijF"	"EG11903"					
"ptsA"	"EG11906"					
"frwC"	"EG11908"					
"frwB"	"EG11909"					
"frwD"	"EG11912"					
"yijP"	"EG11914"					
"yijD"	"EG11395"					
"trmA"	"EG11022"					
"b3975"						
"secE"	"EG10939"					
"nusG"	"EG10667"					
"rplK"	"EG10872"					
"rplA"	"EG10864"					
"rplJ"	"EG10871"					
"rplL"	"EG10873"					
"rpoB"	"EG10894"					
"rpoC"	"EG10895"					
"yjaZ"	"EG11429"					
"rsd"	"EG11738"					
"nfi"	"EG11915"					
"yjaG"	"EG11916"					
"yjaH"	"EG11917"					
"zraP"	"EG11918"					
"zraS"	"EG10008"					
"yjaA"	"EG11206"					
"yjaB"	"EG11207"					
"aceK"	"EG10026"					
"arpA"	"EG11208"					
"yjbB"	"EG11919"					
"pepE"	"EG11920"					
"rluF"	"EG11921"					
"pagB"	"EG11922"					
"yjbE"	"EG11923"					
"yjbF"	"EG11924"					
"yjbG"	"EG11925"					
"yjbH"	"EG11926"					
"psiE"	"EG11209"					
"malM"	"EG10559"					
"yjbI"	"EG11927"					
"dinF"	"EG11491"					
"yjbJ"	"EG11928"					
"yjbL"	"EG11930"					
"yjbM"	"EG11931"					
"dusA"	"EG11932"					
"pspG"	"EG11933"					
"qor"	"EG11492"					
"dnaB"	"EG10236"					
"yjbQ"	"EG11935"					
"yjbR"	"EG11936"					
"uvrA"	"EG11061"					
"ssb"	"EG10976"					
"yjcB"	"EG11937"					
"yjcC"	"EG11938"					
"yjcD"	"EG11939"					
"yjcE"	"EG11940"					
"yjcF"	"EG11941"					
"yjcH"	"EG11943"					
"nrfE"	"EG11948"					
"nrfF"	"EG11949"					
"nrfG"	"EG11950"					
"yjcO"	"EG11951"					
"sdsP"	"EG11952"					
"sdsQ"	"EG11953"					
"sdsR"	"G0-8883"					
"yjcS"	"EG11955"					
"phnP"	"EG10725"					
"phnO"	"EG10724"					
"phnM"	"EG10722"					
"phnL"	"EG10721"					
"phnK"	"EG10720"					
"phnJ"	"EG10719"					
"phnI"	"EG10718"					
"phnH"	"EG10717"					
"phnG"	"EG10716"					
"phnE_2"	"G7822"					
"phnE_1"	"EG11283"					
"phnD"	"EG10714"					
"phnC"	"EG10713"					
"yjdN"	"EG10712"					
"yjdM"	"EG10711"					
"yjdA"	"EG11210"					
"yjcZ"	"G7823"					
"basS"	"EG11614"					
"eptA"	"EG11613"					
"yjdF"	"G7825"					
"dcuS"	"G7827"					
"yjdI"	"G7828"					
"yjdJ"	"G7829"					
"yjdK"	"G7830"					
"cutA"	"EG12177"					
"fxsA"	"G7832"					
"yjeH"	"G7833"					
"groS"	"EG10600"					
"groL"	"EG10599"					
"yjeI"	"G7834"					
"yjeJ"	"G7835"					
"epmB"	"G7836"					
"efp"	"EG12099"					
"sugE"	"EG11616"					
"blc"	"G7837"					
"ampC"	"EG10040"					
"epmA"	"EG11211"					
"yjeM"	"EG12475"					
"yjeN"	"G7838"					
"yjeO"	"G7839"					
"yjeP"	"G7840"					
"orn"	"G7842"					
"queG"	"G7843"					
"yjeF"	"EG11758"					
"tsaE"	"EG11757"					
"mutL"	"EG11281"					
"miaA"	"EG10595"					
"hfq"	"EG10438"					
"hflX"	"EG10437"					
"hflK"	"EG10436"					
"hflC"	"EG10435"					
"yjeT"	"G7844"					
"rnr"	"EG11259"					
"rlmB"	"G7845"					
"yjfI"	"G7846"					
"yjfK"	"G7848"					
"yjfL"	"G7849"					
"yjfM"	"G7850"					
"yjfC"	"EG11812"					
"yjfN"	"G7851"					
"bsmA"	"G7852"					
"yjfP"	"G7853"					
"yjfY"	"G7861"					
"rpsF"	"EG10905"					
"priB"	"EG10764"					
"rpsR"	"EG10917"					
"rplI"	"EG10870"					
"yjfZ"	"G7862"					
"ytfB"	"G7864"					
"fklB"	"G7865"					
"ytfF"	"G7867"					
"ytfG"	"G7868"					
"ytfI"	"G7870"					
"ytfJ"	"G7871"					
"ytfK"	"G7872"					
"ytfL"	"G7873"					
"tamA"	"G7874"					
"tamB"	"G7875"					
"ytfP"	"G7876"					
"yzfA"	"EG11213"					
"chpS"	"EG11250"					
"chpB"	"EG12096"					
"yjgA"	"EG11410"					
"pmbA"	"EG10741"					
"cybC"	"EG50008"					
"ridA"	"G7877"					
"pyrL"	"EG11279"					
"yjgH"	"G7879"					
"bdcA"	"G7880"					
"tabA"	"G7883"					
"yjgL"	"G7884"					
"rraB"	"G7885"					
"yjgM"	"G7886"					
"yjgN"	"G7887"					
"holC"	"EG11413"					
"yjgR"	"G7890"					
"yjgB"	"EG11436"					
"intB"	"EG12364"					
"yjgW"	"G7896"					
"yjgX_2"	"G7897"					
"yjgX_1"	"G7898"					
"yjgZ"	"G7899"					
"insG"	"G7900"					
"yjhB"	"EG12544"					
"yjhC"	"G7901"					
"yjhD"	"G7902"					
"yjhE"	"G7903"					
"insN-2"	"G7904"					
"insO-2"	"G7906"					
"yjhV"	"G7907"					
"insA-7"	"G7908"					
"yjhF"	"EG12548"					
"yjhG"	"G7910"					
"yjhH"	"G7911"					
"sgcA"	"EG12554"					
"sgcQ"	"G7915"					
"sgcC"	"EG12556"					
"sgcX"	"EG12557"					
"yjhP"	"G7916"					
"yjhQ"	"G7917"					
"yjhR"	"G7918"					
"nanS"	"G7919"					
"nanM"	"G7920"					
"fimB"	"EG10309"					
"fimE"	"EG10312"					
"fimA"	"EG10308"					
"fimI"	"EG11974"					
"fimC"	"EG10310"					
"fimD"	"EG10311"					
"fimF"	"EG10313"					
"fimG"	"EG10314"					
"fimH"	"EG10315"					
"yjiC"	"G7922"					
"iraD"	"G7923"					
"iadA"	"G7925"					
"yjiG"	"G7926"					
"yjiH"	"G7927"					
"kptA"	"G7928"					
"yjiJ"	"G7929"					
"yjiK"	"G7930"					
"yjiL"	"G7931"					
"yjiM"	"G7932"					
"yjiN"	"G7933"					
"mdtM"	"EG12576"					
"yjiP"	"G7934"					
"yjiS"	"G7937"					
"yjiT"	"G7938"					
"yjiU"	"EG11386"					
"mcrD"	"EG11386"					
"mcrC"	"EG10575"					
"mcrB"	"EG10574"					
"symE"	"G7940"					
"hsdS"	"EG10460"					
"hsdM"	"EG10458"					
"hsdR"	"EG10459"					
"mrr"	"EG10612"					
"yjiA"	"EG10021"					
"yjiX"	"G7941"					
"yjiY"	"G7942"					
"tsr"	"EG11034"					
"mdoB"	"EG12591"					
"yjjA"	"EG11214"					
"dnaC"	"EG10237"					
"dnaT"	"EG10244"					
"yjjB"	"EG11215"					
"yjjP"	"G7946"					
"rsmC"	"G7950"					
"holD"	"EG11414"					
"rimI"	"EG10850"					
"prfC"	"EG12114"					
"osmY"	"EG11391"					
"yjjU"	"G7951"					
"yjjV"	"G7952"					
"yjjW"	"G7953"					
"yjjI"	"EG12171"					
"ytjB"	"EG10951"					
"radA"	"EG11296"					
"yjjK"	"EG12343"					
"creA"	"EG11217"					
"creC"	"EG10730"					
"creD"	"EG10145"					
"yjjY"	"G7954"					
"yjtD"	"EG12309"					
"yfjD"	"EG12442"					
"ygcU"	"G7439"					
"ygfQ"	"G7503"					
"yggP"	"G7520"					
"yhaM"	"G7622"					
"yhdP"	"G7690"					
"rtcA"	"G7750"					
"yigE"	"EG11462"					
