Frame ID	Name	pH 7.2 formula	pH 7.2 charge	pH 7.2 Weight	Feist formula	Media Concentration (mM)	Biomass information	Maximum exchange rate (mmol/gDSW/hr)	Fake metabolite	Equivalent enzyme frameId	Comments
2p4c2me	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C14H23N3O17P3	-3	598.2617000000	C14H22N3O17P3		"{""core"": [], ""wildtype"": []}"			[]	
2pg	D-Glycerate 2-phosphate	C3H5O7P	-2	184.0395000000	C3H4O7P		"{""core"": [], ""wildtype"": []}"			[]	
2pglyc	2-Phosphoglycolate	C2H3O6P	-2	154.0137000000	C2H2O6P		"{""core"": [], ""wildtype"": []}"			[]	
2shchc	2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	C11H10O6	-2	238.1940000000	C11H10O6		"{""core"": [], ""wildtype"": []}"			[]	
2tdec7eg3p	2-tetradec-7-enoyl-sn-glycerol 3-phosphate	C17H32O7P	-1	379.4068000000	C17H32O7P1		"{""core"": [], ""wildtype"": []}"			[]	
2tdecg3p	2-tetradecanoyl-sn-glycerol 3-phosphate	C17H34O7P	-1	381.4226000000	C17H34O7P1		"{""core"": [], ""wildtype"": []}"			[]	
2tpr3dpcoa	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA	C26H41N7O26P5S	-5	1054.5629000000	C26H40N7O26P5S		"{""core"": [], ""wildtype"": []}"			[]	
34dhpac	3,4-Dihydroxyphenylacetaldehyde	C8H8O3	0	152.1482000000	C8H8O3		"{""core"": [], ""wildtype"": []}"			[]	
34hpp	3-(4-Hydroxyphenyl)pyruvate	C9H7O4	-1	179.1503000000	C9H7O4		"{""core"": [], ""wildtype"": []}"			[]	
3amp	3'-AMP	C10H13N5O7P	-1	346.2147000000	C10H12N5O7P		"{""core"": [], ""wildtype"": []}"			[]	
3c2hmp	3-Carboxy-2-hydroxy-4-methylpentanoate	C7H10O5	-2	174.1510000000	C7H10O5		"{""core"": [], ""wildtype"": []}"			[]	
3c3hmp	3-Carboxy-3-hydroxy-4-methylpentanoate	C7H10O5	-2	174.1510000000	C7H10O5		"{""core"": [], ""wildtype"": []}"			[]	
3c4mop	3-Carboxy-4-methyl-2-oxopentanoate	C7H8O5	-2	172.1352000000	C7H8O5		"{""core"": [], ""wildtype"": []}"			[]	
3cmp	3'-cmp	C9H13N3O8P	-1	322.1887000000	C9H12N3O8P		"{""core"": [], ""wildtype"": []}"			[]	
3dhguln	3-Dehydro-L-gulonate	C6H9O7	-1	193.1301000000	C6H9O7		"{""core"": [], ""wildtype"": []}"			[]	
3dhgulnp	3-keto-L-gulonate-6-phosphate	C6H9O10P	-2	272.1011000000	C6H8O10P		"{""core"": [], ""wildtype"": []}"			[]	
3dhq	3-Dehydroquinate	C7H9O6	-1	189.1421000000	C7H9O6		"{""core"": [], ""wildtype"": []}"			[]	
3dhsk	3-Dehydroshikimate	C7H7O5	-1	171.1273000000	C7H7O5		"{""core"": [], ""wildtype"": []}"			[]	
3gmp	3'-GMP	C10H13N5O8P	-1	362.2137000000	C10H12N5O8P		"{""core"": [], ""wildtype"": []}"			[]	
3haACP	(3R)-3-Hydroxyacyl-[acyl-carrier protein]	C15H27N2O9PRS	-1	442.4173000000	C15H27N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hbcoa	(S)-3-Hydroxybutanoyl-CoA	C25H39N7O18P3S	-3	850.5961000000	C25H38N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
3hcddec5eACP	(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]	C23H41N2O9PRS	-1	552.6159000000	C23H41N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hcinnm	3-hydroxycinnamic acid	C9H7O3	-1	163.1513000000	C9H7O3		"{""core"": [], ""wildtype"": []}"			[]	
3hcmrs7eACP	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein]	C25H45N2O9PRS	-1	580.6695000000	C25H45N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hcpalm9eACP	(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein]	C27H49N2O9PRS	-1	608.7231000000	C27H49N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hcvac11eACP	(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]	C29H53N2O9PRS	-1	636.7767000000	C29H53N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hdcoa	(S)-3-Hydroxydecanoyl-CoA	C31H51N7O18P3S	-3	934.7569000000	C31H50N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
3hddcoa	(S)-3-Hydroxydodecanoyl-CoA	C33H55N7O18P3S	-3	962.8105000000	C33H54N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
3hddecACP	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]	C23H43N2O9PRS	-1	554.6317000000	C23H43N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hdecACP	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	C21H39N2O9PRS	-1	526.5781000000	C21H39N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hhcoa	(S)-3-Hydroxyhexanoyl-CoA	C27H43N7O18P3S	-3	878.6497000000	C27H42N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
3hhdcoa	(S)-3-Hydroxyhexadecanoyl-CoA	C37H63N7O18P3S	-3	1018.9177000000	C37H62N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
3hhexACP	(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]	C17H31N2O9PRS	-1	470.4709000000	C17H31N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hmrsACP	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]	C25H47N2O9PRS	-1	582.6853000000	C25H47N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hocoa	(S)-3-Hydroxyoctanoyl-CoA	C29H47N7O18P3S	-3	906.7033000000	C29H46N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
3hoctACP	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	C19H35N2O9PRS	-1	498.5245000000	C19H35N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hoctaACP	(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]	C29H55N2O9PRS	-1	638.7925000000	C29H55N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hodcoa	(S)-3-Hydroxyoctadecanoyl-CoA	C39H67N7O18P3S	-3	1046.9713000000	C39H66N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
3hpalmACP	R-3-hydroxypalmitoyl-[acyl-carrier protein]	C27H51N2O9PRS	-1	610.7389000000	C27H51N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hpppn	3-(3-hydroxy-phenyl)propionate	C9H9O3	-1	165.1671000000	C9H9O3		"{""core"": [], ""wildtype"": []}"			[]	
3htdcoa	(S)-3-Hydroxytetradecanoyl-CoA	C35H59N7O18P3S	-3	990.8641000000	C35H58N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
3ig3p	C'-(3-Indolyl)-glycerol 3-phosphate	C11H13NO6P	-1	286.1987000000	C11H12NO6P		"{""core"": [], ""wildtype"": []}"			[]	
3mob	3-Methyl-2-oxobutanoate	C5H7O3	-1	115.1073000000	C5H7O3		"{""core"": [], ""wildtype"": []}"			[]	
3mop	(S)-3-Methyl-2-oxopentanoate	C6H9O3	-1	129.1341000000	C6H9O3		"{""core"": [], ""wildtype"": []}"			[]	
3ocddec5eACP	3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein]	C23H39N2O9PRS	-1	550.6001000000	C23H39N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
