"Gene"	"M9 Glucose minus AAs"	"N-limited Glucose minus AAs"	"M9 Glucose plus AAs"	"M9 Glycerol plus AAs"	"P-limited Glucose plus AAs"
"G7306"	1.04529102806	0.872372244706	0.998064794156	1.76003787838	1.61215177118
"G7307"	0.618896868091	1.48930632622	2.09402324088	1.36873420843	1.18494725621
"G7308"	1.18077658062	1.08932700937	0.19	0.526244556583	0.44
"G7309"	5.44196961893	5.46700405463	2.5988523108	2.79315830796	1.80252600536
"G7310"	2.21504702734	6.98215105346	6.87344406636	14.4723322239	1.10500377073
"G7311"	24.4235139432	28.2671352162	9.36142261269	4.32275760752	7.7758236434
"G7312"	141.360192063	190.704141888	135.36545879	220.937672056	64.4515913949
"G7313"	22.1685144593	10.5710043673	54.9728335938	9.52093657858	5.20281013812
"G7314"	0.965884741226	0.515202225668	0.225018517757	0.868926540815	0.291032644217
"G7315"	315.032696081	345.407309274	198.381528122	47.5362293414	217.93436099
"G7316"	0.92137578291	0.789324605808	0.527288662246	1.62686815692	1.77642900224
"G7317"	0.838629834909	0.174355957742	0.908625335328	3.25215825773	2.64643155967
"G7318"	8.96243456508	11.2585848726	6.91926537526	1.51609146602	11.082653112
"G7319"	8.51756616255	5.77588377076	18.204489373	24.1636069327	6.81825735312
"G7320"	34.7462170603	36.47435309	36.0681979034	29.8884793859	11.8943572056
"G7321"	18.0267393983	7.77933801811	20.331112447	4.6506236141	12.8730895023
"G7322"	0.64784257347	0.706611633077	1.96622311382	1.84917098542	1.08868422113
"G7323"	3.21045687299	3.19866117826	3.82582452987	8.35276201824	11.0294711266
"G7324"	120.843798765	82.5299547639	50.3649980972	179.160324012	71.598241133
"G7325"	73.1877920148	40.2157145902	39.5665174106	182.564874588	105.721928189
"G7326"	198.75765218	158.207057997	41.8595186308	343.317581402	183.967695624
"G7327"	11.5510562288	16.3736078289	50.601142609	22.6195078048	4.95370568363
"G7328"	0.399499687109	0.440605643783	2.01847302021	0.927739187488	0.581922102462
"G7329"	1.95898783389	2.39174273979	0.27006172134	0.838590086594	13.6827129376
"G7330"	1.97494303715	3.7330461199	1.47733995185	2.92154639418	0.810987052918
"G7331"	2.56751501132	3.44218438398	0.837197706638	26.9029893011	3.85524318299
"G7334"	4.3511071388	3.01619517494	3.39212814223	4.08220936912	0.590254182535
"G7335"	1.81196946258	0.368284310463	1.12120470923	4.70857727982	1.76881316142
"G7336"	1.58034806293	0.567567910768	1.66121441522	5.21460449123	0.836799458253
"G7337"	6.59357515566	1.58481334337	1.63009202194	8.85579471307	19.1548401194
"G7338"	3.95951175441	0.590169467187	1.12343224095	3.84198299493	0.230940107676
"G7339"	0.965660395791	1.03058235964	1.50123282671	3.27939526946	0.909798512492
"G7340"	0.305341339051	0.824560488988	0.401538707142	0.552177507691	0.370045042303
"G7341"	0.420039680665	0.44	0.206639783198	0.559732078766	0.14
"G7342"	0.520480547187	0.990572225198	0.141539158304	1.47872692994	0.15502687939
"G7343"	0.589604387139	0.111355287257	0.320052079095	0.541479454827	0.05
"G7344"	2.20401905618	0.774854825112	3.06462069431	2.79172587002	2.02134443708
"G7345"	6.11572835673	4.54994871766	2.29274944117	7.74781474568	1.41417820659
"G7346"	20.722522369	4.94863954369	12.1929993576	3.05039341725	4.55825624554
"G7347"	14.4044819414	12.6254861293	28.7202895761	30.2180150462	6.15578589621
"G7348"	19.36696414	31.8789293003	11.2137995345	39.916165063	23.9977269757
"G7349"	2.73322764023	3.99160786317	6.57195810496	6.26195922482	3.02858052559
"G7350"	1.57646228415	1.45039075195	4.0000541663	19.3841412844	4.47829208516
"G7352"	117.677643161	190.60691829	129.095239778	206.470829982	46.5221241275
"G7353"	2.33846103239	3.73502788923	9.01125037569	3.84040362462	3.41426419599
"G7354"	8.63931324431	14.8028341881	44.1366132971	0.870938191454	11.8715219468
"G7355"	21.7802326281	19.3182823598	12.2175338483	8.49772322449	8.93630982751
"G7357"	33.8248966493	31.1695754436	61.1687619078	14.9486822162	12.4596201119
"G7358"	8.68355533945	7.65052503645	35.4075900526	17.9033516415	4.39704825233
"G7359"	7.89919616164	11.7158197892	4.66151620541	2.69924063396	1.29731774571
"G7360"	0.338575447033	0.315647482698	0.905777750518	0.495412286216	0.16010413278
"G7361"	0.891870693169	1.11428601954	0.263122278292	1.97315314493	0.72762169658
"G7362"	9.47349988125	13.3438462721	2.40229751141	2.77536183827	3.46848670172
"G7363"	13.6610260718	17.172889487	7.89946833654	2.50528108869	6.57468883928
"G7364"	2.33210205609	2.56580071972	3.93015266879	2.5155980071	1.28102823284
"G7365"	45.1968376475	74.6809589744	95.6211913403	21.2037284457	13.8823244932
"G7366"	11.9950156315	14.6573610631	3.48703790248	9.24516269913	32.7600045788
"G7367"	0.854536911627	0.345591280754	0.496923870762	2.48564545608	1.59544142272
"G7368"	1.48446398856	0.357631094845	0.570467644423	0.255147016443	0.994501550192
"G7369"	1.03764155661	0.627933117458	0.541510233821	1.34967897418	1.03103507861
"G7370"	2.93932531941	6.09039407592	1.64469855394	1.36346372645	0.17691806013
"G7371"	1.40656792702	3.31052865869	1.17170815479	0.863847980453	0.185022521152
"G7372"	2.71809369473	2.52010581788	1.56429963029	7.18632961485	5.15979004741
"G7373"	5.53024411758	6.72806064182	2.44725015749	3.79808284972	10.1399720578
"G7374"	8.6377138179	6.32745077684	4.97267533628	7.41860499016	6.07293449111
"G7375"	2.26404505256	3.30032321649	24.4884408106	2.53921247634	4.05813175406
"G7376"	1.47581615838	4.42472974693	4.08639613025	4.06596851931	0.830802824582
"G7377"	5.32131875885	5.84303288826	4.41823871394	5.45884908505	0.813469933884
"G7378"	0.836122000667	0.0550757054729	0.72210340903	2.6572918545	1.27306716241
"G7379"	0.141774468788	0.710211236183	1.38683091976	1.75160878433	0.56665686266
"G7380"	0.434856298103	0.461988455844	1.6905324605	2.23141957806	0.759363768778
"G7381"	2.88249891587	1.60037495606	0.331511689085	2.81897735595	4.72464107984
"G7382"	3.90580337447	5.13740531137	0.929802846486	2.29418830962	2.54854860656
"G7383"	4.20614233394	9.44145292491	6.70241996098	3.70224706541	3.82265614462
"G7384"	0.167729941672	0.247857485934	0.245424801789	0.248260615752	0.13428824719
"G7385"	0.0923760430703	0.328836332137	0.0461880215352	0.171561456433	0.121655250606
"G7386"	0.0	0.0	0.0	1.62235425642	0.0
"G7387"	0.0	0.0	0.0	0.0	0.0
"G7388"	2.11887548793	5.41134918482	1.20528005044	3.70352534756	3.682802375
"G7389"	0.355293306063	0.663952809568	0.0838649708361	0.219393102292	0.215483951452
"G7391"	0.33501243758	0.100664459137	0.411379792082	0.277368587503	0.432473505932
"G7392"	0.438634243989	1.4781519994	0.442379927212	0.117189305542	0.170391705588
"G7393"	1.06232449531	0.894445824706	6.04966390251	1.29326460298	0.140118997047
"G7394"	5.69680904835	2.54242010691	0.194250697124	10.4795944578	24.5002496586
"G7395"	106.117207527	116.68371623	6.61458237533	111.048411665	745.559814658
